dataset,trial,n_cal,n_test,n_dim,method,covered_count,joint_coverage,residual_volume,infinite_region
stock,92,15,64,6,Empirical_copula,46,0.71875,6.833860263067227e-06,0
stock,92,15,64,6,Unscaled,61,0.953125,0.008243035127922545,0
stock,92,15,64,6,Point_CHR,64,1.0,inf,1
stock,92,15,64,6,TSCP_R,61,0.953125,7.066729634821719e-05,0
stock,93,15,64,6,Empirical_copula,38,0.59375,2.8275467757046365e-06,0
stock,93,15,64,6,Unscaled,46,0.71875,0.00027693448284019995,0
stock,93,15,64,6,Point_CHR,64,1.0,inf,1
stock,93,15,64,6,TSCP_R,59,0.921875,2.9171678634833285e-05,0
stock,94,15,64,6,Empirical_copula,36,0.5625,3.032060187112781e-06,0
stock,94,15,64,6,Unscaled,53,0.828125,0.0009139939365675436,0
stock,94,15,64,6,Point_CHR,64,1.0,inf,1
stock,94,15,64,6,TSCP_R,55,0.859375,1.9473542471184426e-05,0
stock,95,15,64,6,Empirical_copula,29,0.453125,1.9815957317625885e-06,0
stock,95,15,64,6,Unscaled,57,0.890625,0.0017331612569955579,0
stock,95,15,64,6,Point_CHR,64,1.0,inf,1
stock,95,15,64,6,TSCP_R,53,0.828125,1.4487668592826155e-05,0
stock,96,15,64,6,Empirical_copula,47,0.734375,9.444857233559624e-06,0
stock,96,15,64,6,Unscaled,64,1.0,0.005570361371302363,0
stock,96,15,64,6,Point_CHR,64,1.0,inf,1
